Env,Treatment,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left)
MNH1_2016,Standard,44.06616,-93.534178
MNH1_2017,Standard,,
MNH1_2018,Standard,44.06980718,-93.53380207
MNH1_2019,Standard,44.066148,-93.523748
MNH1_2020,Standard,44.06857957,-93.53302313
MNH1_2021,Standard,44.070958,-93.533411
MOH1_2014,"",,
MOH1_2015,"",38.89608333,-92.20833333
MOH1_2016,Standard,38.89497,-92.20754
MOH1_2017,Standard,38.89238,-92.20483
MOH1_2019,Standard,38.89504,-92.20918
MOH1_1_2020,Standard,38.89847,-92.20674
MOH1_2_2020,Standard,38.89505,-92.20753
MOH1_1_2018,Standard,38.898517,-92.209183
MOH1_2_2018,Standard,38.894933,-92.209983
MOH2_2014,"",,
MOH2_2015,"",38.89853333,-92.20758333
NCH1_2014,"",,
NCH1_2015,"",35.29597778,-77.56711667
NCH1_2016,Standard,35.30049,-77.570669
NCH1_2017,Standard,35.296066,-77.567222
NCH1_2018,Standard,35.666642,-78.493005
NCH1_2019,Standard,35.669668,-78.510089
NCH1_2020,Standard,35.30019852,-77.57024056
NCH1_2021,Standard,36.12860022,-77.17707758
NEH1_2014,"",,
NEH1_2015,Irrigated,41.166356,-96.417261
NEH1_2016,Standard,,
NEH1_2019,Standard,40.8604,-96.6159
NEH1_2020,Standard,40.85194,-96.61667
NEH1_2021,Standard,40.86124999,-96.59643669
NEH2_2014,"",,
NEH2_2015,"",41.050974,-100.746632
NEH2_2018,Drought,41.379819,-96.560109
NEH2_2019,Standard,,
NEH2_2020,Dryland,,
NEH2_2021,Dryland,41.0538996,-100.7493277
NEH3_2014,"",,
NEH3_2015,"",41.158406,-101.988317
NEH3_2017,Standard,41.162,-96.409
NEH3_2020,Standard,,
NEH3_2021,Standard,41.0899758,-100.7800172
NEH4_2015,"",41.167022,-96.417192
NEH4_2016,Standard,,
NEH4_2017,Standard,41.162,-96.409
NYH1_2014,"",,
NYH1_2015,Disease trial,,
NYH1_2016,Disease trial,,
NYH1_2017,Disease trial,42.7286167,-76.6524
NYH1_2018,Standard,42.7292,-76.65245
NYH1_2019,Disease trial,42.7286833,-76.65245
NYH2_2014,"",,
NYH2_2015,"",42.732712,-76.653275
NYH2_2016,Standard,42.725428,-76.6551
NYH2_2017,Standard,42.732186,-76.653267
NYH2_2018,Standard,42.725427,-76.655072
NYH2_2019,Standard,42.7326631,-76.6520512
NYH2_2020,Standard,42.731967,-76.649715
NYH2_2021,Standard,42.732955,-76.65655
NYH3_2015,"",42.723512,-76.656229
NYH3_2017,Standard,42.733064,-76.653178
NYH3_2018,Standard,42.725529,-76.655467
NYH3_2019,Standard,42.732626,-76.6530185
NYH3_2020,Standard,42.731936,-76.651002
NYH3_2021,Standard,42.733032,-76.655673
NYS1_2020,Standard,42.73192,-76.651739
NYS1_2021,Standard,,
OHH1_2015,"",39.85542,-83.664387
OHH1_2016,Standard,39.860557,-83.675203
OHH1_2017,Standard,39.85542,-83.664387
OHH1_2018,Standard,39.856653,-83.670361
OHH1_2019,Standard,39.856629,-83.670359
OHH1_2020,Standard,39.856658,-83.673847
ONH1_2014,"",,
ONH1_2015,"",43.497347,-80.448907
ONH1_2016,Standard,43.499678,-80.451969
ONH1_2017,Standard,43.496036,-80.426126
ONH2_2014,"",,
ONH2_2015,"",42.454331,-81.880906
ONH2_2016,Standard,42.452749,-81.883455
ONH2_2017,Standard,42.452733,-81.883468
ONH2_2019,Standard,42.452053,-81.882542
SCH1_2018,Standard,34.622082,-82.73703
SCH1_2019,Standard,34.622112,-82.737411
SCH1_2020,Standard,34.621912,-82.737416
SCH1_2021,Standard,34.622998,-82.737131
SDH1_2015,"",44.20888,-102.92972
TXH1_2014,"",,
TXH1_2015,"",30.546769,-96.43468
TXH1_2016,Standard,30.546769,-96.43468
TXH1-Dry_2017,Standard,,
TXH1_2019,Standard,30.546732,-96.434713
TXH1_2020,Standard,30.537182,-96.428085
TXH1_2021,Standard - Irrigated Optimal,30.53774915,-96.42757069
TXH1-Dry_2018,Drought,30.546732,-96.434713
TXH1-Early_2018,Early Planting,30.546732,-96.434713
TXH1-Late_2018,Late Planting,30.546732,-96.434713
TXH2_2014,"",,
TXH2_2015,"",,
TXH2_2016,"",,
TXH2_2017,"",,
TXH2_2018,Standard,,
TXH2_2019,Standard,30.546732,-96.434713
TXH2_2020,Dryland,30.537623,-96.427673
TXH2_2021,Dryland optimal,30.53724828,-96.42813145
TXH3_2019,Standard,30.546732,-96.434713
TXH3_2020,Late Stressed,30.538091,-96.427156
TXH3_2021,Late Planting Irrigated,30.53820977,-96.42708262
TXH4_2019,Standard,,
WIH1_2015,"",43.054433,-89.52875
WIH1_2016,Standard,43.056867,-89.531689
WIH1_2017,Standard,43.057176,-89.531052
WIH1_2018,Standard,43.0554,-89.5311
WIH1_2019,Standard,43.057183,-89.530362
WIH1_2020,Standard,43.0568242,-89.528261
WIH1_2021,Standard,43.05714,-89.52965
WIH2_2015,"",43.326656,-89.334397
WIH2_2016,Standard,43.326953,-89.340156
WIH2_2017,Standard,43.324531,-89.335756
WIH2_2018,Standard,43.4049,-89.3852
WIH2_2019,Standard,43.32034,-89.332787
WIH2_2020,Standard,43.294275,-89.384175
WIH2_2021,Standard,43.319604,-89.332737
WIH3_2020,Standard,44.115206,-89.545233
WIH3_2021,Standard,44.11493,-89.5431
