Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,GWETTOP,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,T2MWET,GWETROOT,T2M,GWETPROF,ALLSKY_SFC_SW_DNI,PRECTOTCORR,Month_Day,Field_Location
GAH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
GAH2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH2_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH2_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH2_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH2_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
GEH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
IAH1a_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1b_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH1c_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH2_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
IAH3_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH3_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
IAH4_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAH4_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
ILH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILH1_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
INH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INH1_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
KSH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIH1_2022,0,5,5,5,5,5,254,12,254,5,5,5,254,5,254,254,5,0,0
MNH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNH1_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
MOH1_1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH1_2_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH2_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH2_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOH2_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
NCH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCH1_2022,0,5,5,5,5,5,254,13,254,5,5,5,254,5,254,254,5,0,0
NEH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH1_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
NEH2_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH2_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH2_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH2_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH2_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
NEH3_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH3_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH3_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH3_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH3_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH3_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
NEH4_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH4_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH4_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH2_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
NYH3_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH3_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH3_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH3_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH3_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH3_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYH3_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
NYS1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYS1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHH1_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
ONH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH2_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH2_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH2_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCH1_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
SDH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1-Dry_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1-Dry_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1-Early_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1-Early_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1-Late_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1-Late_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH1_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
TXH2_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH2_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH2_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH2_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
TXH3_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH3_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH3_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXH3_2022,0,5,5,5,5,5,254,11,254,5,5,5,254,5,254,254,5,0,0
TXH4_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH1_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
WIH2_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH2_2022,0,5,5,5,5,5,254,10,254,5,5,5,254,5,254,254,5,0,0
WIH3_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH3_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIH3_2022,0,5,5,5,5,5,254,12,254,5,5,5,254,5,254,254,5,0,0
